Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-g21o,Randomise questionnaire elements?,Question Key,Response
12,1653644401859,27/05/2022 09:40:01,1653644401767,1,27/05/2022 10:40:01,85439,16,questionnaire-mbc5,,22124111,BLIND,6525833,,complete,,629098bac8c971270f23f1e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1.2,1440x900,1440x837,,Demographics,5,continue,No,language-3,No
13,1653644401859,27/05/2022 09:40:01,1653644401767,1,27/05/2022 10:40:01,85439,16,questionnaire-mbc5,,22124111,BLIND,6525833,,complete,,629098bac8c971270f23f1e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1.2,1440x900,1440x837,,Demographics,5,continue,No,language-3-quantised,2
14,1653644401859,27/05/2022 09:40:01,1653644401767,1,27/05/2022 10:40:01,85439,16,questionnaire-mbc5,,22124111,BLIND,6525833,,complete,,629098bac8c971270f23f1e3,computer,Desktop or Laptop,Mac OS 10.14.6,Safari 14.1.2,1440x900,1440x837,,Demographics,5,continue,No,END QUESTIONNAIRE,9708
1,1653644518715,27/05/2022 09:41:58,1653644517313,1,27/05/2022 10:41:57,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1114x609,,Demographics,5,continue,No,BEGIN QUESTIONNAIRE,
2,1653644551454,27/05/2022 09:42:31,1653644550124,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,age,64
3,1653644551571,27/05/2022 09:42:31,1653644550126,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,age-quantised,47
4,1653644551571,27/05/2022 09:42:31,1653644550126,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,gender,Other
5,1653644551571,27/05/2022 09:42:31,1653644550127,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,gender-quantised,3
6,1653644551571,27/05/2022 09:42:31,1653644550127,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,native-language,Yes
7,1653644551571,27/05/2022 09:42:31,1653644550127,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,native-language-quantised,1
8,1653644551571,27/05/2022 09:42:31,1653644550127,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,language1,Yes
9,1653644551571,27/05/2022 09:42:31,1653644550127,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,language1-quantised,1
10,1653644551571,27/05/2022 09:42:31,1653644550128,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,language2,Yes
11,1653644551571,27/05/2022 09:42:31,1653644550128,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,language2-quantised,1
12,1653644551571,27/05/2022 09:42:31,1653644550128,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,language-3,No
13,1653644551571,27/05/2022 09:42:31,1653644550128,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,language-3-quantised,2
14,1653644551571,27/05/2022 09:42:31,1653644550128,1,27/05/2022 10:42:30,85439,16,questionnaire-mbc5,,22124164,BLIND,6525824,,complete,,629098798d59319e1e967907,computer,Desktop or Laptop,Windows 10,Firefox 100.0,1366x768,1097x609,,Demographics,5,continue,No,END QUESTIONNAIRE,32815
1,1653644526136,27/05/2022 09:42:06,1653644526062,1,27/05/2022 10:42:06,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1280x609,,Demographics,5,continue,No,BEGIN QUESTIONNAIRE,
2,1653644546498,27/05/2022 09:42:26,1653644546491,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,age,46
3,1653644546547,27/05/2022 09:42:26,1653644546493,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,age-quantised,29
4,1653644546547,27/05/2022 09:42:26,1653644546493,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,gender,Female
5,1653644546547,27/05/2022 09:42:26,1653644546494,1,27/05/2022 10:42:26,85439,16,questionnaire-mbc5,,22124167,BLIND,6525841,,complete,,6290990de2f528196adc8907,computer,Desktop or Laptop,Windows 10,Chrome 101.0.4951.67,1280x720,1263x609,,Demographics,5,continue,No,gender-quantised,1
